"","CAND_ID","CAND_NAME","CAND_PTY_AFFILIATION","CAND_ELECTION_YR","CAND_OFFICE","CAND_OFFICE_ST","CAND_OFFICE_DISTRICT","CAND_PCC"
"693","H2CA24211","FRANKENFIELD, JEFF","IND",2022,"H","CA",24,"C00800839"
"694","H2CA24229","ALLEN, BRAD DR.","REP",2022,"H","CA",24,"C00820647"
"695","H2CA25184","NAZANIN, RHODA","DEM",2022,"H","CA",25,"C00770602"
"696","H2CA25192","BELLINGHAM, CHRIS","DEM",2022,"H","CA",25,"C00773945"
"697","H2CA25200","LUEVANOS, RUTH","DEM",2022,"H","CA",25,"C00774919"
"698","H2CA25218","QUARTEY, JOHN QUAYE II","DEM",2022,"H","CA",27,"C00781328"
"699","H2CA25226","STRANSKY, DARA FAYE","DEM",2022,"H","CA",25,"C00781856"
"700","H2CA25234","HILL, STEVE","DEM",2022,"H","CA",25,"C00783902"
"701","H2CA25242","TYSON, BRIAN","REP",2022,"H","CA",25,"C00803767"
"702","H2CA25259","THAKUR, ALBERT 'BURT'","REP",2022,"H","CA",25,"C00808063"
"703","H2CA26125","WILSON, DANIEL","IND",2022,"H","CA",26,"C00765404"
"704","H2CA26133","JACOBS, MATTHEW","REP",2022,"H","CA",26,"C00767046"
"705","H2CA26158","GOODMAN, DAVID","IND",2022,"H","CA",26,"C00799882"
"706","H2CA26166","MIKHAIL, FADDE","REP",2022,"H","CA",26,"C00802447"
"707","H2CA26174","AUSTIN, PETER DUMOND","IND",2022,"H","CA",26,""
"708","H2CA26182","TAYLOR, PAUL N","REP",2022,"H","CA",26,"C00808725"
"709","H2CA27214","PREBOLA, CRYSTAL","REP",2022,"H","CA",27,""
"710","H2CA27222","DEPAOLIS, GIULIANO GIOVANNI","NPA",2022,"H","CA",28,"C00769976"
"711","H2CA27230","KEIVAULQE AUTIAMEINEIRE, FEPBRINA ESTRELVIA","OTH",2022,"H","CA",27,"C00786590"
"712","H2CA27248","JORDAN, ALI","NNE",2022,"H","CA",27,""
"713","H2CA27255","PIERCE, MARK","REP",2022,"H","CA",27,""
"714","H2CA28113","CARDENAS, TONY","DEM",2022,"H","CA",29,"C00498873"
"715","H2CA28154","BRAUN, JONATHAN","DEM",2022,"H","CA",28,""
"716","H2CA28162","MARTINEZ, DANIEL JOSE BOCIC","REP",2022,"H","CA",31,"C00798389"
"717","H2CA28170","RODRIGUEZ, TONY","IND",2022,"H","CA",30,"C00803981"
"718","H2CA28188","HALLMAN, WESLEY PHILLIP","REP",2022,"H","CA",28,"C00809533"
"719","H2CA28196","CARONNA, DOROTHY","DEM",2022,"H","CA",28,""
"720","H2CA28204","MALKI, DANIEL","DEM",2022,"H","CA",28,""
"721","H2CA29087","CARRANZA, MARGARITA MARIA MMC MMC","REP",2022,"H","CA",29,"C00807263"
"722","H2CA29095","MIRANDA, ANDY","REP",2022,"H","CA",29,""
"723","H2CA30275","RHODES, AARIKA SAMONE","DEM",2022,"H","CA",32,"C00748814"
"724","H2CA30283","VOLOTZKY, LUCIE LAPOINTE","REP",2022,"H","CA",32,"C00774141"
"725","H2CA30291","AAZAMI, SHERVIN","DEM",2022,"H","CA",32,"C00766634"
"726","H2CA30309","POTELL, JASON RANDOLPH","DEM",2022,"H","CA",32,"C00784470"
"727","H2CA30317","MURPHY, SUSAN JENNIFER","REP",2022,"H","CA",30,""
"728","H2CA30325","GIPSON, PATRICK LEE","REP",2022,"H","CA",30,"C00805598"
"729","H2CA30333","MEURER, WILLIAM","GRE",2022,"H","CA",30,"C00807149"
"730","H2CA31125","AGUILAR, PETE","DEM",2022,"H","CA",33,"C00510461"
"731","H2CA31141","COVELL, CAROLYN ELIZABETH MRS","REP",2022,"H","CA",31,"C00774372"
"732","H2CA31158","GUTIERREZ, REX DALE ALEXANDER","REP",2022,"H","CA",31,"C00785246"
"733","H2CA31166","DE LUCA, ROCCO","DEM",2022,"H","CA",31,"C00801837"
"734","H2CA31174","DUFFY, JENNIFER","DEM",2022,"H","CA",31,""
"735","H2CA32222","KHAN, MUMIN","DEM",2022,"H","CA",32,"C00763094"
"736","H2CA33048","ROYBAL-ALLARD, LUCILLE","DEM",2022,"H","CA",40,"C00259143"
"737","H2CA33188","RAPHAEL, PATRICK JEAN","REP",2022,"H","CA",33,""
"738","H2CA33196","GATES, DERRICK ROLLIN","REP",2022,"H","CA",36,"C00779322"
"739","H2CA33212","RAGGE, CLAIRE","REP",2022,"H","CA",36,"C00785592"
"740","H2CA33220","ZUNIGA, PALOMA","REP",2022,"H","CA",30,"C00789701"
"741","H2CA33238","UPCHURCH, ANDREW","DEM",2022,"H","CA",36,"C00795146"
"742","H2CA33246","RICHTER, ERNEST HAROLD","REP",2022,"H","CA",33,""
"743","H2CA33253","PORTER, JOHN MARK MR","REP",2022,"H","CA",33,"C00819748"
"744","H2CA34079","KIM, DAVID YUNG HO","DEM",2022,"H","CA",34,"C00795658"
"745","H2CA34087","VONBUCK, CLIFTON RIO TORRADO","REP",2022,"H","CA",34,""
"746","H2CA35142","CARACAMO, RAFAEL DR.","REP",2022,"H","CA",35,"C00804252"
"747","H2CA35159","STEVENS, LLOYD ALEXANDER","DEM",2022,"H","CA",35,"C00809202"
"748","H2CA35167","ERBST, BOB","REP",2022,"H","CA",35,"C00806265"
"749","H2CA36439","RUIZ, RAUL DR.","DEM",2022,"H","CA",25,"C00502575"
"750","H2CA36447","REISS, JONATHAN","REP",2022,"H","CA",25,"C00789776"
"751","H2CA36454","GIBSON, JAMES FRANCIS","REP",2022,"H","CA",36,"C00791681"
"752","H2CA36462","JENKINS, STORM","REP",2022,"H","CA",36,"C00792150"
"753","H2CA36470","BATTERSBY, MITCHELL A","DEM",2022,"H","CA",36,""
"754","H2CA36488","JESUELE, MATTHEW VINCENT","IND",2022,"H","CA",36,""
"755","H2CA36496","HAKAMI, ARIANA","REP",2022,"H","CA",36,"C00807792"
"756","H2CA36504","WILLIAMS, STEVE MR.","NON",2022,"H","CA",36,"C00812651"
"757","H2CA37023","CALVERT, KEN","REP",2022,"H","CA",41,"C00257337"
"758","H2CA37296","LEE, DANIEL","DEM",2022,"H","CA",37,"C00790436"
"759","H2CA37304","KAMLAGER, SYDNEY","DEM",2022,"H","CA",37,"C00795823"
"760","H2CA37312","PERRY, JAN","DEM",2022,"H","CA",37,"C00800409"
"761","H2CA37320","FEDALIZO, BALTAZAR MR.","REP",2022,"H","CA",37,"C00802785"
"762","H2CA37338","MENDOZA, SANDRA","DEM",2022,"H","CA",37,"C00807289"
"763","H2CA37346","SHURE, MICHAEL MR.","DEM",2022,"H","CA",37,"C00807933"
"764","H2CA37353","CHAMPION, CHRIS","REP",2022,"H","CA",37,""
"765","H2CA38245","MOREIRA, ELIZABETH","DEM",2022,"H","CA",38,"C00768614"
"766","H2CA38252","ANI, SYLVESTER UGONNA JR.","DEM",2022,"H","CA",38,"C00778191"
"767","H2CA38260","CLEMMONS, MITCHELL","REP",2022,"H","CA",38,"C00795187"
"768","H2CA38278","SAREGA, JOHN","CA",2022,"H","CA",38,""
"769","H2CA39078","SANCHEZ, LINDA","DEM",2022,"H","CA",38,"C00384057"
"770","H2CA39136","CHEN, JAY","DEM",2022,"H","CA",45,"C00665695"
"771","H2CA39151","CHING, ERIC J","REP",2022,"H","CA",38,"C00776930"
"772","H2CA39169","AUZENNE, ORAY","DEM",2022,"H","CA",39,"C00807248"
"773","H2CA39177","MINNELLA, JOHN LORDSAL","REP",2022,"H","CA",39,"C00808154"
"774","H2CA39185","PETERSON, ARTHUR LAVERNE DR","REP",2022,"H","CA",39,"C00814970"
"775","H2CA39193","MORENO, TONY","REP",2022,"H","CA",39,"C00815449"
"776","H2CA39201","SUAREZ, EMMANUEL L","REP",2022,"H","CA",39,""
"777","H2CA40076","LOPEZ, JAZMIN NICOLE","DEM",2022,"H","CA",42,"C00786566"
"778","H2CA40084","RATHS, GREG","REP",2022,"H","CA",40,"C00799353"
"779","H2CA40092","MAHMOOD, ASIF DR.","DEM",2022,"H","CA",40,"C00801688"
"780","H2CA41132","SPINNEY, BILL","REP",2022,"H","CA",39,"C00795278"
"781","H2CA41140","MELENDEZ, MELISSA","REP",2022,"H","CA",41,"C00808014"
"782","H2CA41157","LUCIO, JOHN MICHAEL","REP",2022,"H","CA",41,""
"783","H2CA42163","RIOS, ANGEL ANTHONY MR.","DEM",2022,"H","CA",42,"C00750828"
"784","H2CA42171","CASTILLO, SAUL","DEM",2022,"H","CA",42,""
"785","H2CA42189","MOSELY, BRANDON","DEM",2022,"H","CA",41,"C00774273"
"786","H2CA42197","KURANI, SHRINA","DEM",2022,"H","CA",41,"C00785287"
"787","H2CA42205","ROLLINS, WILL","DEM",2022,"H","CA",41,"C00792507"
"788","H2CA42213","GARCIA, CRISTINA","DEM",2022,"H","CA",42,"C00798330"
"789","H2CA42221","SUMMERVILLE, WILLIAM M.","DEM",2022,"H","CA",42,"C00777722"
"790","H2CA42247","BELTRAN, JOAQUIN","DEM",2022,"H","CA",42,"C00808634"
"791","H2CA42254","FLORES, JULIO CESAR","GRE",2022,"H","CA",42,""
"792","H2CA43245","TAKANO, MARK","DEM",2022,"H","CA",39,"C00498667"
"793","H2CA43393","PRATT, EVETTE","REP",2022,"H","CA",43,"C00807370"
"794","H2CA43419","MONESTIME, JEAN M.","DEM",2022,"H","CA",43,""
"795","H2CA45125","PHAN WEST, AMY","REP",2022,"H","CA",47,"C00782219"
"796","H2CA45133","TAURUS, NICHOLAS","REP",2022,"H","CA",40,"C00785238"
"797","H2CA45141","DALE, TERRY","REP",2022,"H","CA",45,"C00784686"
"798","H2CA45158","COLLINS, SHAWN","REP",2022,"H","CA",45,"C00785097"
"799","H2CA45174","RICHTER, JENNIFER MS.","REP",2022,"H","CA",45,"C00798165"
"800","H2CA45182","HANCOCK, ADAM MATTHEW","REP",2022,"H","CA",45,""
"801","H2CA45190","HANCOCK, ADAM M","REP",2022,"H","CA",45,""
"802","H2CA45208","PHAM, LONG","REP",2022,"H","CA",45,"C00805630"
"803","H2CA46131","TRUMAN, CECILIA","REP",2022,"H","CA",25,"C00780668"
"804","H2CA46149","ORTEGA, MICHAEL","DEM",2022,"H","CA",46,"C00786129"
"805","H2CA46156","RUVALCABA, JESUS","DEM",2022,"H","CA",46,"C00792788"
"806","H2CA46164","ROCHA JR., FELIX","REP",2022,"H","CA",46,"C00810424"
"807","H2CA46172","NGUYEN, MIKE","REP",2022,"H","CA",46,""
"808","H2CA47162","GRIFFITH, WILLIAM","DEM",2022,"H","CA",47,"C00760140"
"809","H2CA47170","LYONS, MICHELLE","REP",2022,"H","CA",47,"C00783076"
"810","H2CA47188","GARCIA, ROBERT","DEM",2022,"H","CA",42,"C00797795"
"811","H2CA47196","BAUGH, SCOTT","REP",2022,"H","CA",47,"C00798322"
"812","H2CA47204","WEBBER, ERROL","REP",2022,"H","CA",47,"C00798595"
"813","H2CA47212","ERNST, ROLAND","DEM",2022,"H","CA",47,""
"814","H2CA47220","VEAZEY, PETER D","REP",2022,"H","CA",47,"C00808691"
"815","H2CA48111","BALASINSKI, KRZYSZTOF CHRIS","IND",2022,"H","CA",48,"C00768945"
"816","H2CA48129","RASCON, MATTHEW G.","DEM",2022,"H","CA",48,""
"817","H2CA49242","RODRIGUEZ, CHRISTOPHER","REP",2022,"H","CA",49,"C00779769"
"818","H2CA49259","ELIZABETH, ANNE","REP",2022,"H","CA",49,"C00789289"
"819","H2CA49267","BARTLETT, LISA","REP",2022,"H","CA",49,"C00799312"
"820","H2CA49275","ONEIL, JOSIAH","REP",2022,"H","CA",49,"C00801191"
"821","H2CA49317","TAYLOR, RENEE","REP",2022,"H","CA",49,"C00808030"
"822","H2CA49325","SMALLEY, NADIA BAHIA","DEM",2022,"H","CA",49,""
"823","H2CA50026","VARGAS, JUAN C.","DEM",2022,"H","CA",52,"C00497321"
"824","H2CA50174","HOULAHAN, STEPHEN WILLIAM","DEM",2022,"H","CA",48,"C00764027"
"825","H2CA50182","BAROSAY, MARI MS","DEM",2022,"H","CA",50,"C00784728"
"826","H2CA50190","BILASH, TIMOTHY DANIEL DR. M.D.","DEM",2022,"H","CA",50,"C00784132"
"827","H2CA50208","ROCHA, JOSEPH C.","DEM",2022,"H","CA",50,"C00783910"
"828","H2CA50216","SCHINDLER, ADAM DR.","IND",2022,"H","CA",50,"C00797761"
"829","H2CA50224","TAITANO, KYLIE","DEM",2022,"H","CA",50,"C00798702"
"830","H2CA50232","GUSTAFSON, COREY","REP",2022,"H","CA",50,"C00807503"
"831","H2CA50240","CHIDDICK, DAVID","REP",2022,"H","CA",50,"C00812099"
"832","H2CA51206","CAPLAN, STAN","REP",2022,"H","CA",51,"C00799080"
"833","H2CA51214","DE GANNA, BENJAMIN MR","DEM",2022,"H","CA",51,"C00802066"
"834","H2CA51222","CORTES, JOSE MARCOS","PFP",2022,"H","CA",51,"C00811778"
"835","H2CA52089","PETERS, SCOTT","DEM",2022,"H","CA",50,"C00503110"
"836","H2CA52147","HOSANNA, JUDAH","REP",2022,"H","CA",52,"C00766899"
"837","H2CA52154","BAILEY, RICHARD","REP",2022,"H","CA",52,"C00786665"
"838","H2CA52162","VAZQUEZ, JOAQUIN","DEM",2022,"H","CA",52,"C00802926"
"839","H2CA52170","WEIR, CHARLES STEVEN","REP",2022,"H","CA",52,""
"840","H2CA52188","GEFFENEY, TYLER","REP",2022,"H","CA",52,"C00810283"
"841","H2CA53020","HOLMAN LEAK, BARRETT","DEM",2022,"H","CA",51,"C00779884"
"842","H2CA53038","WELLS, BILL D.","REP",2022,"H","CA",53,"C00795591"
"843","H2CO00043","ARNOLD, JAMES G","REP",2022,"H","CO",0,"C00790220"
"844","H2CO01173","WATERS, DOM","OTH",2022,"H","CO",1,"C00777342"
"845","H2CO01199","WALIA, NEAL","DEM",2022,"H","CO",1,"C00783324"
"846","H2CO01207","BAILEY, SCOTT CHRISTIAN MR.","CRV",2022,"H","CO",1,"C00808444"
"847","H2CO01215","QUALTERI, JENNIFER","REP",2022,"H","CO",1,"C00819284"
"848","H2CO01223","BOSWELL, IRIS RHIANNON AURORA","UNK",2022,"H","CO",1,"C00823666"
"849","H2CO01231","SHACKLEFORD, RUSTY","UN",2022,"H","CO",1,""
"850","H2CO01249","KITTLESON, JOHN C.","LIB",2022,"H","CO",1,""
"851","H2CO02171","MCGONIGAL, RYAN JAMES","CON",2022,"H","CO",4,""
"852","H2CO02197","YURASH, STEPHEN ANDREW","UN",2022,"H","CO",2,"C00811760"
"853","H2CO02205","DAWSON, MARSHALL","REP",2022,"H","CO",2,"C00810457"
"854","H2CO02213","NATION, GARY L.","OTH",2022,"H","CO",2,""
"855","H2CO02221","WOLF, TIM","OTH",2022,"H","CO",2,""
"856","H2CO03195","WILHELM, COLIN","DEM",2022,"H","CO",3,"C00766840"
"857","H2CO03203","SMITH, GREGG HARRISON","DEM",2022,"H","CO",3,"C00767988"
"858","H2CO03211","DONOVAN, KERRY","DEM",2022,"H","CO",3,"C00768317"
"859","H2CO03245","SANDOVAL TAFOYA, SOLEDAD","DEM",2022,"H","CO",3,"C00769703"
"860","H2CO03252","MARTINEZ, SUSAN LYNN","DEM",2022,"H","CO",3,"C00775213"
"861","H2CO03260","ZIMMERMAN, MARINA","REP",2022,"H","CO",3,"C00777102"
"862","H2CO03278","BURNETT, DEBORA LYNN","DEM",2022,"H","CO",3,"C00778126"
"863","H2CO03286","RHODES, KELLIE","DEM",2022,"H","CO",3,"C00779199"
"864","H2CO03294","O'NEILL, JACK MR","DEM",2022,"H","CO",3,""
"865","H2CO03302","BUERGER, COLIN","DEM",2022,"H","CO",3,"C00786988"
"866","H2CO03310","SKOWRONSKI, KRISTIN ELISE","IND",2022,"H","CO",3,"C00791608"
"867","H2CO03328","CORAM, DON","REP",2022,"H","CO",3,"C00799478"
"868","H2CO03336","YATES, SCOTT","DEM",2022,"H","CO",3,"C00802363"
"869","H2CO03344","WALKER, ALEX","DEM",2022,"H","CO",3,""
"870","H2CO03351","FRISCH, ADAM","DEM",2022,"H","CO",3,"C00805275"
"871","H2CO03369","VAN RAAM, DOUGLAS S","OTH",2022,"H","CO",3,"C00816942"
"872","H2CO04110","VIBE, ROME","DEM",2022,"H","CO",4,"C00731638"
"873","H2CO04128","WINDHOLZ, DONNA","IND",2022,"H","CO",4,""
"874","H2CO04136","SODERBERG, MARIE KATHRYN","DEM",2022,"H","CO",4,""
"875","H2CO04144","SODERBERG, MARIE K","DEM",2022,"H","CO",4,""
"876","H2CO04151","LEWIS, BOB","REP",2022,"H","CO",4,"C00812222"
"877","H2CO05133","THOMPSON, RYAN CASEY","UN",2022,"H","CO",5,"C00763631"
"878","H2CO05141","GOENAGA-TORRES, SANTIAGO DAVID","DEM",2022,"H","CO",5,"C00772467"
"879","H2CO05158","DOWELL, JEREMY J","DEM",2022,"H","CO",5,"C00772236"
"880","H2CO05174","JONES, ALAX","UN",2022,"H","CO",5,"C00782995"
"881","H2CO05182","MITCHELL, CHRISTOPHER","CON",2022,"H","CO",5,"C00786814"
"882","H2CO05190","COLOMBE, MICHAEL CHRISTOPHER MR","DEM",2022,"H","CO",5,"C00786350"
"883","H2CO05208","MIMIAGA, BRANDON KYLE","REP",2022,"H","CO",5,"C00795633"
"884","H2CO05224","AVION, ORLONDO","DEM",2022,"H","CO",5,"C00801555"
"885","H2CO05232","FEIGENBAUM, MATTHEW","UN",2022,"H","CO",5,"C00804658"
"886","H2CO05240","HEATON, ANDREW DAVID","REP",2022,"H","CO",5,"C00805606"
"887","H2CO05257","TREVINO, AARON MR.","UN",2022,"H","CO",5,""
"888","H2CO05265","FLANAGAN, BRIAN","LIB",2022,"H","CO",5,""
"889","H2CO06172","RICKERSON, GLENN III","REP",2022,"H","CO",6,"C00778043"
"890","H2CO06180","MULDER, ERIC","LIB",2022,"H","CO",6,"C00780007"
"891","H2CO06198","WHITE, ANDREW FORREST","IND",2022,"H","CO",6,""
"892","H2CO06206","SMITH, BRIAN","REP",2022,"H","CO",6,"C00805101"
"893","H2CO06214","MONAHAN, STEVEN EDWARD","REP",2022,"H","CO",6,"C00806737"
"894","H2CO07154","FAUST, KYLE ALEXANDER","DEM",2022,"H","CO",7,"C00769224"
"895","H2CO07162","IMER, LAUREL ANNE","REP",2022,"H","CO",7,"C00771493"
"896","H2CO07170","AADLAND, ERIK","REP",2022,"H","CO",7,"C00781492"
"897","H2CO07188","MOPPER, JUIUS B","DEM",2022,"H","CO",7,"C00801472"
"898","H2CO07196","ANDERSEN, CARL E","REP",2022,"H","CO",7,"C00802249"
"899","H2CO07204","REICHERT, TIM","REP",2022,"H","CO",7,"C00802496"
"900","H2CO07212","DEMPSEY, BRAD","REP",2022,"H","CO",7,"C00804450"
"901","H2CO07220","KLOPF, ROSS","LIB",2022,"H","CO",7,"C00820738"
"902","H2CO07238","LUJAN, JP","W",2022,"H","CO",7,""
"903","H2CO08012","GRAY, GIULIANNA","REP",2022,"H","CO",8,"C00785303"
"904","H2CO08020","CARAVEO, YADIRA","DEM",2022,"H","CO",8,"C00787788"
"905","H2CO08038","TEDESCO, CHAZ","DEM",2022,"H","CO",8,"C00790568"
"906","H2CO08046","GONZALEZ, RYAN ALEXANDER 9706732194","REP",2022,"H","CO",8,"C00790154"
"907","H2CO08053","PAYETTE, MATTHEW WILLIAM","UN",2022,"H","CO",8,"C00792713"
"908","H2CO08061","SAINE, LORI A","REP",2022,"H","CO",8,"C00793117"
"909","H2CO08079","KIRKMEYER, BARBARA","REP",2022,"H","CO",8,"C00794602"
"910","H2CO08087","HUMPHREY, JOHNNY","DEM",2022,"H","CO",8,"C00795518"
"911","H2CO08095","KULMANN, JANIFER SUZANNE","REP",2022,"H","CO",8,"C00796680"
"912","H2CO08103","ALLCORN, TYLER","REP",2022,"H","CO",8,"C00798983"
"913","H2CO08111","ZORN, STEVE","IND",2022,"H","CO",8,"C00802900"
"914","H2CO08129","RODRIGUEZ, JOSHUA","LIB",2022,"H","CO",4,"C00757534"
"915","H2CO08137","DOUGLAS, STEVE DOUGLAS","DEM",2022,"H","CO",8,"C00801456"
"916","H2CO08145","LONG, TIMOTHY LOUIS","UN",2022,"H","CO",8,"C00809194"
"917","H2CO08152","WARD, RICHARD","LIB",2022,"H","CO",8,""
"918","H2CO18011","FORDHAM, ABIGAIL MRS","ICD",2022,"H","CO",18,""
"919","H2CT01197","LEGNANI, ANDREW JOSEPH","DEM",2022,"H","CT",1,"C00764688"
"920","H2CT01205","HREZI, MUAD","DEM",2022,"H","CT",1,"C00767343"
"921","H2CT01213","LAZOR, LAWRENCE ZIDOVSKY DR","REP",2022,"H","CT",1,"C00778332"
"922","H2CT01239","SANDERS, MARY L","GRE",2022,"H","CT",1,""
"923","H2CT02112","COURTNEY, JOSEPH","DEM",2022,"H","CT",2,"C00410233"
"924","H2CT02161","FRANCE, MIKE","REP",2022,"H","CT",2,"C00768689"
"925","H2CT02179","DILIZIA, ANTHONY ADELINO MR.","DEM",2022,"H","CT",2,"C00785428"
"926","H2CT02195","BLACKER, KEVIN","GRE",2022,"H","CT",2,""
"927","H2CT02203","HALL, WILLIAM","LIB",2022,"H","CT",2,""
"928","H2CT03102","CHAI, AMY FOGELSTROM DR","LIB",2022,"H","CT",3,"C00785634"
"929","H2CT03110","DENARDIS, LESLEY","REP",2022,"H","CT",3,"C00805085"
"930","H2CT04126","BOOK, ETHAN","REP",2022,"H","CT",4,"C00805259"
"931","H2CT04134","STEVENSON, JAYME MRS.","REP",2022,"H","CT",4,"C00807610"
"932","H2CT05222","LOGAN, GEORGE S","REP",2022,"H","CT",5,"C00784926"
"933","H2CT05230","BOTELHO, MICHELLE L","REP",2022,"H","CT",5,"C00792960"
"934","H2CT05248","FURZE, MARCUS","DEM",2022,"H","CT",5,"C00809046"
"935","H2CT12012","CUNNINGHAM, GEORGE MR","ICD",2022,"H","CT",12,""
"936","H2CT21013","FOWLER, ARNOLD DANIEL MR","ICD",2022,"H","CT",21,""
"937","H2CT21021","GREENFORD, MOSES MR","ICD",2022,"H","CT",21,""
"938","H2CT34016","ROBINSON, TIMOTHY BRENT MR","ICD",2022,"H","CT",34,""
"939","H2CT81017","ADELPHI, ADRIAN","ICD",2022,"H","CT",81,""
"940","H2DC01011","HAMILTON, WENDY REV","DEM",2022,"H","DC",0,"C00763896"
"941","H2DC01029","WILLIAMS, KELLY MIKEL","DEM",2022,"H","DC",0,"C00794867"
"942","H2DC01037","FLYUNT, MIKHAIL PETER MR.","REP",2022,"H","DC",0,""
"943","H2DC01045","WISE, CONNELL DR.","DEM",2022,"H","DC",0,""
"944","H2DC01060","MAJORS, BRUCE POWELL MR.","LIB",2022,"H","DC",0,"C00821553"
"945","H2DC10012","WINDHAUSER, ANGELA MARIE","REP",2022,"H","DC",0,""
"946","H2DE00163","MCNUTT, CODY","LIB",2022,"H","DE",0,""
"947","H2DE00171","SHLIKAS, EDWARD","W",2022,"H","DE",0,""
"948","H2DE01039","HILL, CHRISTOPHER BROOKS MR.","REP",2022,"H","DE",0,"C00789149"
"949","H2DE01047","PRESSLEY, TYLER STEELE","IND",2022,"H","DE",0,""
"950","H2DE18017","JAY, AARON MR","ICD",2022,"H","DE",0,"C00810481"
"951","H2FL00318","CORDOVA, VINCENT DEAN MR JR","NPA",2022,"H","FL",0,"C00789859"
"952","H2FL01225","KELLY, JEREMY","REP",2022,"H","FL",1,"C00779728"
"953","H2FL01233","JONES, REBEKAH","DEM",2022,"H","FL",1,"C00782854"
"954","H2FL01241","JONES, BRYAN CHRISTOPHER","REP",2022,"H","FL",1,"C00793828"
"955","H2FL01258","SCHILLER, MARGARET ANN MS","DEM",2022,"H","FL",1,"C00794792"
"956","H2FL01266","MCPHILLIPS, WILLIAM J MR II","REP",2022,"H","FL",1,""
"957","H2FL01282","LOMBARDO, MARK","REP",2022,"H","FL",1,"C00818351"
"958","H2FL02140","BROOKS, LINDA SUSAN MS.","NPA",2022,"H","FL",2,"C00776559"
"959","H2FL02165","TEAGUE, JOVANTE RODRIGUEZ MR","REP",2022,"H","FL",2,"C00794529"
"960","H2FL03163","HAWK, DANIELLE NICOLE","DEM",2022,"H","FL",3,"C00774174"
"961","H2FL03189","WATERS, JUSTIN JAMES MR.","REP",2022,"H","FL",3,"C00783886"
"962","H2FL03197","ASENSIO, MANUEL P","REP",2022,"H","FL",3,"C00789461"
"963","H2FL03205","ROBINSON, ANDREW PRESTON MR.","DEM",2022,"H","FL",3,"C00800110"
"964","H2FL04146","GARNER-LOPEZ, LEIGHA LUNA","REP",2022,"H","FL",5,"C00763656"
"965","H2FL04153","ROBERTSON, AL","DEM",2022,"H","FL",4,"C00783191"
"966","H2FL04179","DAVIS, ALAN MICHAEL","REP",2022,"H","FL",4,"C00814111"
"967","H2FL04187","FISCHER, JASON","REP",2022,"H","FL",4,"C00814384"
"968","H2FL04195","HILL, ANTHONY TONY","DEM",2022,"H","FL",4,"C00814533"
"969","H2FL04203","MACIE, MARA HEATHER","REP",2022,"H","FL",5,"C00814780"
"970","H2FL04211","BEAN, AARON P.","REP",2022,"H","FL",4,"C00816983"
"971","H2FL05200","CHUBA, JON","REP",2022,"H","FL",4,"C00780254"
"972","H2FL05218","MARC, JONATHAN","DEM",2022,"H","FL",5,"C00788729"
"973","H2FL05226","CROOMS, CONNELL AUBREY","DEM",2022,"H","FL",5,"C00805119"
"974","H2FL05242","ROMDCELLY, DAMASCUS","REP",2022,"H","FL",5,"C00820951"
"975","H2FL06190","DAVIS, CHARLES EDWARD","REP",2022,"H","FL",6,"C00785691"
"976","H2FL06208","BELL, MATT","DEM",2022,"H","FL",6,"C00817783"
"977","H2FL06216","HANNOUSH, JOSEPH ""JOE""","OTH",2022,"H","FL",6,""
"978","H2FL07149","LIGGETT, JEREMY","REP",2022,"H","FL",7,"C00769000"
"979","H2FL07156","MILLS, CORY","REP",2022,"H","FL",7,"C00774943"
"980","H2FL07164","DUKE, BRADY","REP",2022,"H","FL",7,"C00780619"
"981","H2FL07172","CAVAGNA, JOSEPH","REP",2022,"H","FL",7,"C00780072"
"982","H2FL07180","BENFIELD, ERIKA","REP",2022,"H","FL",7,"C00784645"
"983","H2FL07198","LE, TUAN A","REP",2022,"H","FL",10,"C00793562"
"984","H2FL07206","MCGOVERN, KEVIN JOHN","REP",2022,"H","FL",15,"C00797647"
"985","H2FL07214","STURGILL, SCOTT","REP",2022,"H","FL",7,"C00800425"
"986","H2FL07222","OGILVIE, LEE ALECK","REP",2022,"H","FL",7,"C00801159"
"987","H2FL07230","PASTRANA, ALLEK","DEM",2022,"H","FL",7,"C00801571"
"988","H2FL07248","STARK, KRISTOPHER L MR.","REP",2022,"H","FL",7,"C00803544"
"989","H2FL07255","KRULICK, AL MR.","DEM",2022,"H","FL",7,"C00803791"
"990","H2FL07263","ROBERTS, RUSSELL L. MR.","REP",2022,"H","FL",7,"C00807180"
"991","H2FL07271","SANTOS, AL","REP",2022,"H","FL",7,"C00810721"
"992","H2FL07289","FERNANDEZ, HLSIA TATIANA","DEM",2022,"H","FL",7,"C00815563"
"993","H2FL07297","EDWARDS, TED","REP",2022,"H","FL",7,"C00818211"
"994","H2FL08063","DEMINGS, VALDEZ 'VAL'","DEM",2022,"H","FL",10,"C00590489"
"995","H2FL08089","WELLS, PATRICK LEE","REP",2022,"H","FL",8,"C00770743"
"996","H2FL08097","GREGG, PERRY","DEM",2022,"H","FL",8,""
"997","H2FL08105","TERRY, JOANNE R","DEM",2022,"H","FL",8,"C00794263"
"998","H2FL08113","SALEH, REBECCA","REP",2022,"H","FL",8,"C00803627"
"999","H2FL08121","DODGE, DANELLE","DEM",2022,"H","FL",8,"C00805564"
"1000","H2FL08139","GREEN, KAREN REV. DR.","DEM",2022,"H","FL",7,"C00811539"
